No,Latitude,Longitude,Altitude
1,33.937823,-84.442610,0.0
2,33.937267,-84.441452,0.0
3,33.937526,-84.441272,0.0
4,33.937611,-84.441067,0.0
5,33.937851,-84.440944,0.0
6,33.937827,-84.440797,0.0
7,33.937974,-84.440423,0.0
8,33.938338,-84.440263,0.0
9,33.938513,-84.440109,0.0
10,33.938559,-84.439964,0.0
11,33.938883,-84.439847,0.0
12,33.938821,-84.440229,0.0
13,33.938937,-84.440273,0.0
14,33.939054,-84.440484,0.0
15,33.939101,-84.440700,0.0
16,33.939252,-84.440516,0.0
17,33.939266,-84.440350,0.0
18,33.939374,-84.440217,0.0
19,33.939480,-84.440143,0.0
20,33.939611,-84.439920,0.0
21,33.939659,-84.439826,0.0
22,33.939752,-84.439780,0.0
23,33.939736,-84.439649,0.0
24,33.939840,-84.439540,0.0
25,33.939899,-84.439318,0.0
26,33.939789,-84.439266,0.0
27,33.939852,-84.439169,0.0
28,33.939906,-84.439033,0.0
29,33.940034,-84.438761,0.0
30,33.940125,-84.438556,0.0
31,33.940362,-84.438156,0.0
32,33.940435,-84.437817,0.0
33,33.940198,-84.437733,0.0
34,33.939971,-84.437619,0.0
35,33.939828,-84.437414,0.0
36,33.939509,-84.437252,0.0
37,33.939273,-84.437206,0.0
38,33.939071,-84.437480,0.0
39,33.939038,-84.437717,0.0
40,33.938902,-84.437968,0.0
41,33.938757,-84.437705,0.0
42,33.938638,-84.437394,0.0
43,33.938414,-84.437394,0.0
44,33.938120,-84.437635,0.0
45,33.937949,-84.437618,0.0
46,33.938148,-84.437048,0.0
47,33.938213,-84.436712,0.0
48,33.938178,-84.436459,0.0
49,33.937880,-84.436099,0.0
50,33.937711,-84.436106,0.0
51,33.937506,-84.436182,0.0
52,33.937329,-84.437063,0.0
53,33.937318,-84.437298,0.0
54,33.937048,-84.437517,0.0
55,33.936881,-84.437807,0.0
56,33.936717,-84.438577,0.0
57,33.936575,-84.438772,0.0
58,33.936298,-84.438923,0.0
59,33.936268,-84.439096,0.0
60,33.936321,-84.439575,0.0
61,33.936193,-84.439830,0.0
62,33.936255,-84.440019,0.0
63,33.936238,-84.440197,0.0
64,33.936375,-84.440368,0.0
65,33.936662,-84.440339,0.0
